"Sample","Fly_Line","Titre","Initial_V","Time","Time_group","log_IU_fly","log_MNE","log_WOL_MNE","Replicate","TCID","IU_mL","TCID_status","MNE","SE_MNE","SE_Percent","MNE_status","IU_fly","Sample_file","WOL_MNE","WOL_SE_MNE","WOL_SE_Percent","Wol_status"
48,"Wol",1e+06,50,72,"2",4.89321528558526,-0.48312276469262,0.300300355089539,3,5,1380000,NA,0.3287586855,0.00957,2.91,NA,78201.5364,"48_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",1.996642702,"0.09877","4.95",NA
52,"Wol",1e+06,50,82,"2",4.52960141745213,-0.790011670806801,0.374505869757719,1,4.6364,597400,NA,0.1621766515,0.01293,7.97,NA,33853.331772,"52_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",2.3686771457,"0.17577","7.42",NA
53,"Wol",1e+06,50,82,"2",NA,-2.25217899830154,0.277524460742998,2,NA,NA,"ND",0.0055952694,0.00065,11.64,NA,NA,"53_data/raw/2309011_MA_Wolbachia_Density_Batch7_8_b1p30T.csv",1.8946302225,"0.1844","9.73",NA
54,"Wol",1e+06,50,82,"2",2.39322094110033,-0.78761310575629,0.216752596269481,3,2.5,4364,NA,0.1630748149,0.02252,13.81,NA,247.29819192,"54_data/raw/2309011_MA_Wolbachia_Density_Batch4_b1p25T.csv",1.6472237533,"0.04074","2.47",NA
58,"Wol",1e+06,50,96,"2",5.64319792044221,0.458887354355069,0.203620623461851,1,5.75,7760000,NA,2.8766521829,0.10989,3.82,NA,439741.9728,"58_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",1.59816135,"0.03953","2.47",NA
59,"Wol",1e+06,50,96,"2",5.64319792044221,0.258667845302385,0.571546622919947,2,5.75,7760000,NA,1.814127661,0.28921,15.94,NA,439741.9728,"59_data/raw/2309011_MA_Wolbachia_Density_Batch5_b1p26T.csv",3.728607106,"0.36289","9.73",NA
60,"Wol",1e+06,50,96,"2",4.39322094110033,-0.124991953682031,0.639789505961081,3,4.5,436400,NA,0.749908103,0.02865,3.82,NA,24729.819192,"60_data/raw/230824_MA_Wolbachia_Density_Batch2_b1p12T.csv",4.3630431282,"0.17432","4",NA
64,"Wol",1e+06,50,106,"2",6.39322094110033,0.15396939944938,0.704435899065083,1,6.5,43640000,NA,1.4255071483,0.08182,5.74,NA,2472981.9192,"64_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",5.063326104,"0.15887","3.14",NA
65,"Wol",1e+06,50,106,"2",2.39322094110033,-2.59353058978571,0.364753509492136,2,2.5,4364,NA,0.0025495845,0.00037,14.56,NA,247.29819192,"65_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",2.3160797502,"0.14534","6.28",NA
66,"Wol",1e+06,50,106,"2",5.51818455637744,-1.20597927550035,0.77625163334024,3,5.625,5819000,NA,0.0622329982,0.00238,3.82,NA,329749.81182,"66_data/raw/2309018_MA_Wolbachia_Density_Batch_repeat_1_b1p31T.csv",5.9738131335,"0.34995","5.86",NA
