Sample,Time,Line,Titre,Replicate,TCID,IU_mL,MNE,SE_MNE,SE_Percent,Fly_Line,Initial_V,IU_fly,log_IU_fly,log_MNE
409,6,Tet,5000,1,3.75,77600,NA,NA,NA,Tet,5000,4397.419728,8.388773222,NA
410,6,Tet,5000,2,3.75,77600,0.003546807,0.00033,9.43,Tet,5000,4397.419728,8.388773222,-5.641707404
411,6,Tet,5000,3,4.25,245400,0.008165867,0.00074,9.08,Tet,5000,13906.27321,9.540095328,-4.807792422
412,6,Wol,5000,1,3,13800,NA,NA,NA,Wol,5000,782.015364,6.661874387,NA
413,6,Wol,5000,2,3.75,77600,NA,NA,NA,Wol,5000,4397.419728,8.388773222,NA
414,6,Wol,5000,3,4.3636,318800,NA,NA,NA,Wol,5000,18065.68826,9.801769742,NA
415,10,Tet,5000,1,3.4,34660,0.041679286,0.00206,4.95,Tet,5000,1964.105255,7.58279208,-3.177751005
416,10,Tet,5000,2,3.625,58190,0.066430138,0.00387,5.82,Tet,5000,3297.498118,8.100919314,-2.711604438
417,10,Tet,5000,3,3.5,43640,0.027107234,0.00358,13.2,Tet,5000,2472.981919,7.813179956,-3.607954642
418,10,Wol,5000,1,3.5,43640,0.005800181,0.00053,9.08,Wol,5000,2472.981919,7.813179956,-5.149866138
419,10,Wol,5000,2,3.5,43640,0.00745188,0.00102,13.67,Wol,5000,2472.981919,7.813179956,-4.899288983
420,10,Wol,5000,3,3.5,43640,0.007103003,0.00109,15.28,Wol,5000,2472.981919,7.813179956,-4.947237598
421,24,Tet,5000,1,7.1,173700000,2.513610802,0.12435,4.95,Tet,5000,9843193.386,16.10229075,0.921720286
422,24,Tet,5000,2,5.6,5494000,1.443804265,0.10714,7.42,Tet,5000,311332.7833,12.64861766,0.367281481
423,24,Tet,5000,3,5,1380000,1.777567544,0.18333,10.31,Tet,5000,78201.5364,11.26704457,0.575245881
424,24,Wol,5000,1,3.875,103500,0.025501164,0.00195,7.64,Wol,5000,5865.11523,8.676777408,-3.669031173
425,24,Wol,5000,2,4.3636,318800,0.028395431,0.00375,13.2,Wol,5000,18065.68826,9.801769742,-3.561527024
426,24,Wol,5000,3,4.3103,282000,0.037502035,0.00143,3.82,Wol,5000,15980.31396,9.679112866,-3.283360083
427,34,Tet,5000,1,7,1.38E+08,14.1851726,0.54188,3.82,Tet,5000,7820153.64,15.87221476,2.652197236
428,34,Tet,5000,2,6.5,43640000,15.3771781,1.95373,12.71,Tet,5000,2472981.919,14.72093524,2.732884469
429,34,Tet,5000,3,6.6,54940000,10.06010698,1.27818,12.71,Tet,5000,3113327.833,14.95120275,2.308577799
430,34,Wol,5000,1,4.25,245400,0.071655956,0.00354,4.95,Wol,5000,13906.27321,9.540095328,-2.635879
431,34,Wol,5000,2,4.5,436400,0.110931408,0.0191,17.22,Wol,5000,24729.81919,10.11576505,-2.198843216
432,34,Wol,5000,3,4.75,776000,0.151210164,0.01205,7.97,Wol,5000,43974.19728,10.69135832,-1.889084599
433,48,Tet,5000,1,7,1.38E+08,20.71042898,1.53681,7.42,Tet,5000,7820153.64,15.87221476,3.030637389
434,48,Tet,5000,2,6.75,77600000,37.66894003,4.32434,11.48,Tet,5000,4397419.728,15.2965285,3.628835883
435,48,Tet,5000,3,6.5,43640000,19.99420742,0.76378,3.82,Tet,5000,2472981.919,14.72093524,2.995442603
436,48,Wol,5000,1,4.5,436400,0.083357628,0.00728,8.73,Wol,5000,24729.81919,10.11576505,-2.484615161
437,48,Wol,5000,2,4.2941,271600,0.105256522,0.01618,15.37,Wol,5000,15390.96905,9.641536191,-2.251354843
438,48,Wol,5000,3,5,1380000,0.085072086,0.01076,12.65,Wol,5000,78201.5364,11.26704457,-2.464256317
439,58,Tet,5000,1,6.6,54940000,21.63278619,3.19388,14.76,Tet,5000,3113327.833,14.95120275,3.074210043
440,58,Tet,5000,2,6.5,43640000,41.64978192,1.0302,2.47,Tet,5000,2472981.919,14.72093524,3.729296133
441,58,Tet,5000,3,6,13800000,0.845737187,0.11161,13.2,Tet,5000,782015.364,13.56962967,-0.167546622
442,58,Wol,5000,1,6.25,24540000,0.154848249,0.01843,11.9,Wol,5000,1390627.321,14.14526551,-1.865309683
443,58,Wol,5000,2,5.6,5494000,1.002158596,0.10059,10.04,Wol,5000,311332.7833,12.64861766,0.002156269
444,58,Wol,5000,3,5.4,3466000,0.436516776,0.03479,7.97,Wol,5000,196410.5255,12.18796227,-0.828928473
445,72,Tet,5000,1,7.5,436400000,62.05959474,3.92576,6.33,Tet,5000,24729819.19,17.02352033,4.128095129
446,72,Tet,5000,2,6.8448,96540000,124.948394,14.54938,11.64,Tet,5000,5470707.481,15.5149185,4.827900804
447,72,Tet,5000,3,6.75,77600000,63.9780385,9.77587,15.28,Tet,5000,4397419.728,15.2965285,4.158539876
448,72,Wol,5000,1,5.1552,1973000,1.552943171,0.23512,15.14,Wol,5000,111805.5299,11.6245163,0.440151951
449,72,Wol,5000,2,4.75,776000,0.803994238,0.03071,3.82,Wol,5000,43974.19728,10.69135832,-0.218163177
450,72,Wol,5000,3,4.875,1035000,0.812296191,0.07094,8.73,Wol,5000,58651.1523,10.9793625,-0.207890238
451,82,Tet,5000,1,7.1552,197300000,198.4315614,30.50506,15.37,Tet,5000,11180552.99,16.22968649,5.290444262
452,82,Tet,5000,2,6.6,54940000,192.7022875,16.82914,8.73,Tet,5000,3113327.833,14.95120275,5.261146446
453,82,Tet,5000,3,7.3333,297300000,77.72596218,2.26266,2.91,Tet,5000,16847330.99,16.6397028,4.353189335
454,82,Wol,5000,1,4.5,436400,1.853911134,0.17486,9.43,Wol,5000,24729.81919,10.11576505,0.617297534
455,82,Wol,5000,2,6,13800000,34.25085399,4.23594,12.37,Wol,5000,782015.364,13.56962967,3.533711498
456,82,Wol,5000,3,6.5,43640000,30.35291034,3.04653,10.04,Wol,5000,2472981.919,14.72093524,3.412892406
457,96,Tet,5000,1,7.75,7.76E+08,46.58023235,2.71197,5.82,Tet,5000,43974197.28,17.59911359,3.841176253
458,96,Tet,5000,2,9.4054,3.51E+10,49.22274493,3.76063,7.64,Tet,5000,1989039078,21.41091748,3.896355812
459,96,Tet,5000,3,7.5,436400000,124.3795528,21.12779,16.99,Tet,5000,24729819.19,17.02352033,4.8233378
460,96,Wol,5000,1,6.75,77600000,3.795568582,0.2401,6.33,Wol,5000,4397419.728,15.2965285,1.333834224
461,96,Wol,5000,2,7.4737,410700000,6.170491705,1.08852,17.64,Wol,5000,23273457.25,16.9628241,1.819778528
462,96,Wol,5000,3,7.5,436400000,8.983267793,0.56826,6.33,Wol,5000,24729819.19,17.02352033,2.195363713
463,106,Tet,5000,1,8.8448,9.65E+09,90.0409207,6.68144,7.42,Tet,5000,547070748.1,20.12008869,4.500264241
464,106,Tet,5000,2,8.3103,2.82E+09,77.04867749,2.24295,2.91,Tet,5000,159803139.6,18.88945324,4.344437397
465,106,Tet,5000,3,8.1667,2.03E+09,9.079648161,0.67375,7.42,Tet,5000,114808922.3,18.55877976,2.206035443
466,106,Wol,5000,1,6.7,69160000,2.083246914,0.31541,15.14,Wol,5000,3919143.665,15.18138374,0.733927693
467,106,Wol,5000,2,6.625,58190000,2.406437966,0.07005,2.91,Wol,5000,3297498.118,15.00867459,0.878147632
468,106,Wol,5000,3,7.5814,526300000,7.490646625,0.42996,5.74,Wol,5000,29824252.61,17.21083247,2.013655126
469,120,Tet,5000,1,7.25,245400000,63.19244991,10.88161,17.22,Tet,5000,13906273.21,16.44785061,4.146184831
470,120,Tet,5000,2,6.6,54940000,50.88944461,1.94398,3.82,Tet,5000,3113327.833,14.95120275,3.929655527
471,120,Tet,5000,3,7.6,549400000,60.15365717,3.50224,5.82,Tet,5000,31133278.33,17.25378785,4.096902241
472,120,Wol,5000,1,7.4,346600000,8.561094593,0.85928,10.04,Wol,5000,19641052.55,16.79313245,2.147228055
473,120,Wol,5000,2,6.6,54940000,6.134211576,0.23433,3.82,Wol,5000,3113327.833,14.95120275,1.813881557
474,120,Wol,5000,3,7,1.38E+08,10.89908898,0.63456,5.82,Wol,5000,7820153.64,15.87221476,2.388679206
475,130,Tet,5000,1,6.6,54940000,95.13117853,10.90206,11.46,Tet,5000,3113327.833,14.95120275,4.555256766
476,130,Tet,5000,2,7.4,346600000,159.1644239,3.9369,2.47,Tet,5000,19641052.55,16.79313245,5.069937781
477,130,Tet,5000,3,7.25,245400000,64.88572716,3.20987,4.95,Tet,5000,13906273.21,16.44785061,4.172627679
478,130,Wol,5000,1,7.6364,597400000,3.783332314,0.5728,15.14,Wol,5000,33853331.77,17.33754798,1.330605186
479,130,Wol,5000,2,6.6,54940000,6.962910906,1.07041,15.37,Wol,5000,3113327.833,14.95120275,1.94059762
480,130,Wol,5000,3,6.75,77600000,11.29190106,0.2793,2.47,Wol,5000,4397419.728,15.2965285,2.424085748
481,144,Tet,5000,1,NA,NA,NA,NA,NA,Tet,5000,NA,NA,NA
482,144,Tet,5000,2,7.5,436400000,64.96018932,1.60678,2.47,Tet,5000,24729819.19,17.02352033,4.17377461
483,144,Tet,5000,3,8,1.38E+09,79.64267579,3.04236,3.82,Tet,5000,78201536.4,18.17479985,4.377550077
484,144,Wol,5000,1,8,1.38E+09,25.37246969,0.96923,3.82,Wol,5000,78201536.4,18.17479985,3.233664716
485,144,Wol,5000,2,6.75,77600000,4.857064312,0.12014,2.47,Wol,5000,4397419.728,15.2965285,1.580434204
486,144,Wol,5000,3,7.5,436400000,12.20329817,0.93233,7.64,Wol,5000,24729819.19,17.02352033,2.501706257
490,154,Wol,5000,1,6.4,34660000,15.49746574,0,0,Wol,5000,1964105.255,14.49054736,2.74067651
491,154,Wol,5000,2,7.3636,318800000,73.56701877,4.28319,5.82,Wol,5000,18065688.26,16.70952502,4.298196811
492,154,Wol,5000,3,7.5,436400000,55.75626433,5.75031,10.31,Wol,5000,24729819.19,17.02352033,4.020989769
496,168,Wol,5000,1,7.1552,197300000,1.681195617,0.2127,12.65,Wol,5000,11180552.99,16.22968649,0.519505217
497,168,Wol,5000,2,7.8448,965400000,7.364985462,0.46589,6.33,Wol,5000,54707074.81,17.8175036,1.996737076
498,168,Wol,5000,3,7.7568,788200000,9.298102611,1.37278,14.76,Wol,5000,44665544.2,17.61471294,2.229810359
502,178,Wol,5000,1,7.6,549400000,24.53230771,2.81628,11.48,Wol,5000,31133278.33,17.25378785,3.199990931
503,178,Wol,5000,2,7,1.38E+08,43.33200939,1.07181,2.47,Wol,5000,7820153.64,15.87221476,3.768891609
504,178,Wol,5000,3,7.1552,197300000,3.737575635,0.33925,9.08,Wol,5000,11180552.99,16.22968649,1.318437175
508,192,Wol,5000,1,7,1.38E+08,25.66868127,0.63491,2.47,Wol,5000,7820153.64,15.87221476,3.245271621
509,192,Wol,5000,2,6.5,43640000,21.81070437,1.3797,6.33,Wol,5000,2472981.919,14.72093524,3.082400876
510,192,Wol,5000,3,7.1552,197300000,31.6084047,0,0,Wol,5000,11180552.99,16.22968649,3.453423057
514,202,Wol,5000,1,7.3636,318800000,1.752416626,0.04335,2.47,Wol,5000,18065688.26,16.70952502,0.560995764
515,202,Wol,5000,2,7.25,245400000,5.518522512,0.70115,12.71,Wol,5000,13906273.21,16.44785061,1.708110164
516,202,Wol,5000,3,6.5,43640000,12.76379793,1.74472,13.67,Wol,5000,2472981.919,14.72093524,2.546612877
520,216,Wol,5000,1,5.6,5494000,22.14552866,1.69192,7.64,Wol,5000,311332.7833,12.64861766,3.09763561
521,216,Wol,5000,2,7.3636,318800000,6.275927596,0.23974,3.82,Wol,5000,18065688.26,16.70952502,1.836721298
522,216,Wol,5000,3,6.75,77600000,41.35845821,3.2967,7.97,Wol,5000,4397419.728,15.2965285,3.722276952
526,226,Wol,5000,1,7.1552,197300000,41.38941171,1.58108,3.82,Wol,5000,11180552.99,16.22968649,3.723025092
527,226,Wol,5000,2,6.75,77600000,9.598329497,1.1426,11.9,Wol,5000,4397419.728,15.2965285,2.261589073
528,226,Wol,5000,3,6.6,54940000,29.42623293,1.86144,6.33,Wol,5000,3113327.833,14.95120275,3.381886553
532,240,Wol,5000,1,6.6,54940000,60.65973351,4.63442,7.64,Wol,5000,3113327.833,14.95120275,4.105280109
533,240,Wol,5000,2,6.4737,41070000,12.04414139,1.09322,9.08,Wol,5000,2327345.725,14.660239,2.48857835
534,240,Wol,5000,3,7,1.38E+08,15.4710181,2.52762,16.34,Wol,5000,7820153.64,15.87221476,2.738968474
538,250,Wol,5000,1,7.3636,318800000,NA,NA,NA,Wol,5000,18065688.26,16.70952502,NA
539,250,Wol,5000,2,6.6,54940000,35.20898403,1.02496,2.91,Wol,5000,3113327.833,14.95120275,3.561301278
540,250,Wol,5000,3,5.7,6916000,11.9369589,0.75511,6.33,Wol,5000,391914.3665,12.87879864,2.479639377
544,264,Wol,5000,1,6.6,54940000,29.82066158,1.47522,4.95,Wol,5000,3113327.833,14.95120275,3.395201495
545,264,Wol,5000,2,7.1552,197300000,24.15687845,3.06923,12.71,Wol,5000,11180552.99,16.22968649,3.184569162
546,264,Wol,5000,3,6.6,54940000,72.45653013,7.16879,9.89,Wol,5000,3113327.833,14.95120275,4.282986798
547,288,Wol,5000,1,6.75,77600000,29.86046788,4.5209,15.14,Wol,5000,4397419.728,15.2965285,3.396535461
548,288,Wol,5000,2,7.5,436400000,13.47747233,1.5472,11.48,Wol,5000,24729819.19,17.02352033,2.601019575
549,288,Wol,5000,3,6.6,54940000,24.0058637,2.85769,11.9,Wol,5000,3113327.833,14.95120275,3.178298121
550,312,Wol,5000,1,6.6,54940000,1.688252805,0.04176,2.47,Wol,5000,3113327.833,14.95120275,0.523694151
551,312,Wol,5000,2,6.5,43640000,5.76091889,0.76026,13.2,Wol,5000,2472981.919,14.72093524,1.751096991
552,312,Wol,5000,3,7.5455,484500000,6.190601695,0.93625,15.12,Wol,5000,27455539.41,17.12807851,1.823032286
