Sample,Time,Line,Titre,Replicate,TCID,IU_mL,MNE,SE_MNE,SE_Percent,Fly_Line,Initial_V,IU_fly,log_IU_fly,log_MNE
30,34,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
31,48,Tet,50,1,5.7,6916000,9.060539047,0.34611,3.82,Tet,50,391914.3665,12.87879864,2.203928616
32,48,Tet,50,2,6,13800000,8.135501854,0.31078,3.82,Tet,50,782015.364,13.56962967,2.09623743
33,48,Tet,50,3,6,13800000,4.638451828,0.43749,9.43,Tet,50,782015.364,13.56962967,1.534380653
34,48,Wol,50,1,2.7,6916,0.030851477,0.00354,11.46,Wol,50,391.9143665,5.971043363,-3.478570646
35,48,Wol,50,2,2.75,7760,0.003860896,1.00E-04,2.47,Wol,50,439.7419728,6.086188129,-5.556855972
36,48,Wol,50,3,3.875,103500,0.08170828,0.01034,12.65,Wol,50,5865.11523,8.676777408,-2.504599933
37,58,Tet,50,1,6.4,34660000,15.57125442,1.24119,7.97,Tet,50,1964105.255,14.49054736,2.745426549
38,58,Tet,50,2,6.6,54940000,12.12217507,0.46307,3.82,Tet,50,3113327.833,14.95120275,2.495036426
39,58,Tet,50,3,7.25,245400000,17.0895784,2.03436,11.9,Tet,50,13906273.21,16.44785061,2.838468827
40,58,Wol,50,1,NA,NA,0.015957192,0.00186,11.64,Wol,50,NA,NA,-4.137845674
41,58,Wol,50,2,5.5,4364000,2.568733807,0.43634,16.99,Wol,50,247298.1919,12.41835014,0.943413095
42,58,Wol,50,3,2.75,7760,0.003939568,0.00047,11.9,Wol,50,439.7419728,6.086188129,-5.536684156
43,72,Tet,50,1,7.3636,318800000,32.52301563,0.80445,2.47,Tet,50,18065688.26,16.70952502,3.481948012
44,72,Tet,50,2,7.75,7.76E+08,52.40244984,2.00178,3.82,Tet,50,43974197.28,17.59911359,3.958953343
45,72,Tet,50,3,6.6,54940000,32.19061893,2.45937,7.64,Tet,50,3113327.833,14.95120275,3.471675073
46,72,Wol,50,1,6.125,18400000,0.278446021,0.01621,5.82,Wol,50,1042687.152,13.85731174,-1.278531059
47,72,Wol,50,2,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
48,72,Wol,50,3,5,1380000,0.328758686,0.00957,2.91,Wol,50,78201.5364,11.26704457,-1.112431276
49,82,Tet,50,1,7.6897,675400000,54.42458935,1.34618,2.47,Tet,50,38273418.61,17.46026618,3.996816062
50,82,Tet,50,2,6.5,43640000,55.70276979,3.52364,6.33,Tet,50,2472981.919,14.72093524,4.020029873
51,82,Tet,50,3,7.6,549400000,79.80867306,4.64659,5.82,Tet,50,31133278.33,17.25378785,4.379632184
52,82,Wol,50,1,4.6364,597400,0.162176652,0.01293,7.97,Wol,50,33853.33177,10.4297927,-1.819069096
53,82,Wol,50,2,NA,NA,0.005595269,0.00065,11.64,Wol,50,NA,NA,-5.185833788
54,82,Wol,50,3,NA,NA,0.163074815,0.02252,13.81,Wol,50,NA,NA,-1.813546196
55,96,Tet,50,1,8,1.38E+09,76.88842084,7.25203,9.43,Tet,50,78201536.4,18.17479985,4.342355291
56,96,Tet,50,2,7.6364,597400000,46.48334825,1.77567,3.82,Tet,50,33853331.77,17.33754798,3.839094146
57,96,Tet,50,3,8.4,3.47E+09,75.152212,9.29438,12.37,Tet,50,196410525.5,19.09571754,4.31951555
58,96,Wol,50,1,5.75,7760000,2.876652183,0.10989,3.82,Wol,50,439741.9728,12.99394341,1.056627182
59,96,Wol,50,2,5.75,7760000,1.814127661,0.28921,15.94,Wol,50,439741.9728,12.99394341,0.595604725
60,96,Wol,50,3,4.5,436400,0.749908103,0.02865,3.82,Wol,50,24729.81919,10.11576505,-0.287804609
61,106,Tet,50,1,7.5,436400000,48.029146,1.83472,3.82,Tet,50,24729819.19,17.02352033,3.871808035
62,106,Tet,50,2,7.7,691600000,59.05318447,2.25584,3.82,Tet,50,39191436.65,17.48396883,4.07843847
63,106,Tet,50,3,8.125,1.84E+09,79.12803849,7.9421,10.04,Tet,50,104268715.2,18.46248192,4.371067281
64,106,Wol,50,1,6.5,43640000,1.425507148,0.08182,5.74,Wol,50,2472981.919,14.72093524,0.354527644
65,106,Wol,50,2,NA,NA,0.002104622,0.00022,10.31,Wol,50,NA,NA,-6.163619353
66,106,Wol,50,3,5.625,5819000,0.062232998,0.00238,3.82,Wol,50,329749.8118,12.7060895,-2.776869902
67,120,Tet,50,1,7,1.38E+08,73.12079543,3.61726,4.95,Tet,50,7820153.64,15.87221476,4.292112806
68,120,Tet,50,2,6.75,77600000,33.51585763,1.65802,4.95,Tet,50,4397419.728,15.2965285,3.512018689
69,120,Tet,50,3,6.6,54940000,41.14605782,2.60281,6.33,Tet,50,3113327.833,14.95120275,3.717128122
70,120,Wol,50,1,NA,NA,0.000946678,0.00011,11.9,Wol,50,NA,NA,-6.962551332
71,120,Wol,50,2,4.5,436400,0.782115418,0.09895,12.65,Wol,50,24729.81919,10.11576505,-0.245752957
72,120,Wol,50,3,5.4,3466000,0.135670799,0.01555,11.46,Wol,50,196410.5255,12.18796227,-1.997523925
73,130,Tet,50,1,6.6,54940000,3.258481008,0.0806,2.47,Tet,50,3113327.833,14.95120275,1.181261138
74,130,Tet,50,2,6.6364,59740000,5.839374525,0.57774,9.89,Tet,50,3385333.177,15.03496289,1.764623689
75,130,Tet,50,3,7,1.38E+08,36.35944706,1.79869,4.95,Tet,50,7820153.64,15.87221476,3.593454062
76,130,Wol,50,1,NA,NA,0.001975759,6.00E-05,2.91,Wol,50,NA,NA,-6.226802701
77,130,Wol,50,2,5,1380000,1.037281051,0.07925,7.64,Wol,50,78201.5364,11.26704457,0.036602916
78,130,Wol,50,3,7,1.38E+08,4.484858153,0.45015,10.04,Wol,50,7820153.64,15.87221476,1.500706868
79,144,Tet,50,1,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
80,144,Tet,50,2,7,1.38E+08,43.34822163,4.08856,9.43,Tet,50,7820153.64,15.87221476,3.769265679
81,144,Tet,50,3,7.25,245400000,41.89715077,7.2146,17.22,Tet,50,13906273.21,16.44785061,3.735217824
82,144,Wol,50,1,3.6,54940,0.017337399,0.00129,7.42,Wol,50,3113.327833,8.043447476,-4.054889296
83,144,Wol,50,2,7.5,436400000,8.158761636,0.60542,7.42,Wol,50,24729819.19,17.02352033,2.099092397
84,144,Wol,50,3,2.6,5494,0.013641585,0.00104,7.64,Wol,50,311.3327833,5.740862383,-4.294632409
85,154,Tet,50,1,7.5,436400000,69.39315377,3.98312,5.74,Tet,50,24729819.19,17.02352033,4.239788214
86,154,Tet,50,2,6.5,43640000,65.99443692,3.78804,5.74,Tet,50,2472981.919,14.72093524,4.189570449
87,154,Tet,50,3,NA,NA,NA,NA,NA,Tet,50,NA,NA,NA
88,154,Wol,50,1,NA,NA,0.036795307,0.00369,10.04,Wol,50,NA,NA,-3.302384961
89,154,Wol,50,2,6,13800000,2.492701692,0.23511,9.43,Wol,50,782015.364,13.56962967,0.913367139
90,154,Wol,50,3,6.25,24540000,6.064708072,1.06737,17.6,Wol,50,1390627.321,14.14526551,1.802486408
94,168,Wol,50,1,2.6,5494,0.016639414,0.00041,2.47,Wol,50,311.3327833,5.740862383,-4.095981055
95,168,Wol,50,2,7.1552,197300000,19.88036711,0.75943,3.82,Wol,50,11180552.99,16.22968649,2.989732667
96,168,Wol,50,3,4.875,1035000,2.047482219,0.24373,11.9,Wol,50,58651.1523,10.9793625,0.716610853
100,178,Wol,50,1,6.25,24540000,8.072356022,0.61673,7.64,Wol,50,1390627.321,14.14526551,2.088445388
101,178,Wol,50,2,NA,NA,21.93149597,1.99067,9.08,Wol,50,NA,NA,3.087923776
102,178,Wol,50,3,6.6,54940000,14.8311513,2.55389,17.22,Wol,50,3113327.833,14.95120275,2.696729786
106,192,Wol,50,1,3.6,54940,0.041623725,0.00529,12.71,Wol,50,3113.327833,8.043447476,-3.179084971
107,192,Wol,50,2,7.6897,675400000,9.431783385,0.23329,2.47,Wol,50,38273418.61,17.46026618,2.244085197
108,192,Wol,50,3,7.5,436400000,3.972969123,0.49135,12.37,Wol,50,24729819.19,17.02352033,1.379513705
112,202,Wol,50,1,5.6,5494000,1.159856164,0.04431,3.82,Wol,50,311332.7833,12.64861766,0.148296001
113,202,Wol,50,2,7.1552,197300000,7.78425941,0.29736,3.82,Wol,50,11180552.99,16.22968649,2.05210367
114,202,Wol,50,3,3.75,77600,0.040629589,0.00237,5.82,Wol,50,4397.419728,8.388773222,-3.203258677
118,216,Wol,50,1,6.6,54940000,78.39453654,8.99959,11.48,Wol,50,3113327.833,14.95120275,4.361754238
119,216,Wol,50,2,5.6,5494000,0.252848524,0.04131,16.34,Wol,50,311332.7833,12.64861766,-1.374964689
120,216,Wol,50,3,6.75,77600000,14.90734277,0.94301,6.33,Wol,50,4397419.728,15.2965285,2.701853895
124,226,Wol,50,1,7.1552,197300000,2.112012799,0.08068,3.82,Wol,50,11180552.99,16.22968649,0.747641426
125,226,Wol,50,2,7.6,549400000,16.62804626,2.05646,12.37,Wol,50,31133278.33,17.25378785,2.811090804
126,226,Wol,50,3,5,1380000,0.185495751,0.01065,5.74,Wol,50,78201.5364,11.26704457,-1.684723306
130,240,Wol,50,1,8,1.38E+09,12.18247228,0.46537,3.82,Wol,50,78201536.4,18.17479985,2.499998221
131,240,Wol,50,2,NA,NA,0.004015236,0.00073,18.15,Wol,50,NA,NA,-5.517659278
132,240,Wol,50,3,7.4,346600000,10.16208567,0.50271,4.95,Wol,50,19641052.55,16.79313245,2.318663703
136,250,Wol,50,1,7.1552,197300000,45.22687101,1.31659,2.91,Wol,50,11180552.99,16.22968649,3.811691402
137,250,Wol,50,2,7.3636,318800000,1.998256063,0.18847,9.43,Wol,50,18065688.26,16.70952502,0.692274832
138,250,Wol,50,3,8.1552,1.97E+09,4.918487212,0.24332,4.95,Wol,50,111805529.9,18.53227158,1.593001006
142,264,Wol,50,1,6.6,54940000,NA,NA,NA,Wol,50,3113327.833,14.95120275,NA
143,264,Wol,50,2,7.25,245400000,28.51113962,0.70522,2.47,Wol,50,13906273.21,16.44785061,3.350294875
144,264,Wol,50,3,4.6364,597400,0.105537714,0.01059,10.04,Wol,50,33853.33177,10.4297927,-2.24868691
145,288,Wol,50,1,6.5,43640000,14.42485804,1.14981,7.97,Wol,50,2472981.919,14.72093524,2.668952971
146,288,Wol,50,2,6.6,54940000,10.05822557,0.74636,7.42,Wol,50,3113327.833,14.95120275,2.308390764
147,288,Wol,50,3,6.4,34660000,23.73327925,2.93519,12.37,Wol,50,1964105.255,14.49054736,3.166878251
148,312,Wol,50,1,7,1.38E+08,35.97438123,6.1108,16.99,Wol,50,7820153.64,15.87221476,3.582807053
149,312,Wol,50,2,2.75,7760,0.000429809,2.00E-05,4.95,Wol,50,439.7419728,6.086188129,-7.752170332
150,312,Wol,50,3,6.6,54940000,5.469412413,0.74763,13.67,Wol,50,3113327.833,14.95120275,1.699171191
151,336,Wol,50,1,6.4,34660000,6.258035579,0.39587,6.33,Wol,50,1964105.255,14.49054736,1.833866331
152,336,Wol,50,2,6.5,43640000,2.005844109,0.04961,2.47,Wol,50,2472981.919,14.72093524,0.696064974
153,336,Wol,50,3,6.4,34660000,5.013894297,0.95766,19.1,Wol,50,1964105.255,14.49054736,1.612212918
154,360,Wol,50,1,7.25,245400000,10.16613902,0.25146,2.47,Wol,50,13906273.21,16.44785061,2.319062494
155,360,Wol,50,2,6.25,24540000,5.397070191,0,0,Wol,50,1390627.321,14.14526551,1.685856249
156,360,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
157,384,Wol,50,1,6.75,77600000,12.36455812,0.47233,3.82,Wol,50,4397419.728,15.2965285,2.514834164
158,384,Wol,50,2,6.75,77600000,5.424796342,0.20723,3.82,Wol,50,4397419.728,15.2965285,1.690980358
159,384,Wol,50,3,NA,NA,NA,NA,NA,Wol,50,NA,NA,NA
160,408,Wol,50,1,7,1.38E+08,13.02388117,0.32214,2.47,Wol,50,7820153.64,15.87221476,2.566784685
161,408,Wol,50,2,6.5,43640000,24.38806713,1.39986,5.74,Wol,50,2472981.919,14.72093524,3.194093961
202,0,Tet,500,1,2.75,7760,NA,NA,NA,Tet,500,439.7419728,6.086188129,NA
203,0,Tet,500,2,NA,NA,NA,NA,NA,Tet,500,NA,NA,NA
204,0,Tet,500,3,NA,NA,NA,NA,NA,Tet,500,NA,NA,NA
205,0,Wol,500,1,2.7,6916,NA,NA,NA,Wol,500,391.9143665,5.971043363,NA
206,0,Wol,500,2,3,13800,NA,NA,NA,Wol,500,782.015364,6.661874387,NA
207,0,Wol,500,3,2.6,5494,NA,NA,NA,Wol,500,311.3327833,5.740862383,NA
208,6,Tet,500,1,3,13800,NA,NA,NA,Tet,500,782.015364,6.661874387,NA
209,6,Tet,500,2,NA,NA,NA,NA,NA,Tet,500,NA,NA,NA
210,6,Tet,500,3,NA,NA,NA,NA,NA,Tet,500,NA,NA,NA
211,6,Wol,500,1,NA,NA,NA,NA,NA,Wol,500,NA,NA,NA
212,6,Wol,500,2,NA,NA,NA,NA,NA,Wol,500,NA,NA,NA
213,6,Wol,500,3,2.75,7760,NA,NA,NA,Wol,500,439.7419728,6.086188129,NA
214,10,Tet,500,1,2.75,7760,0.017251588,0.00109,6.33,Tet,500,439.7419728,6.086188129,-4.059851093
