Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
100-rpl32,31,1.69,35.4,31,0.1
100-rpl32,30.9,1.69,34.6,,
83-rpl32,25.7,1.7,30.3,25.7,0
83-rpl32,25.7,1.67,30.1,,
46-rpl32,22.8,1.69,27.6,22.9,0.1
46-rpl32,23,1.59,27.6,,
54-rpl32,24.4,1.59,28.6,24.4,0.1
54-rpl32,24.3,1.74,29.1,,
34-rpl32,22.2,1.66,27.1,22.3,0.1
34-rpl32,22.4,1.78,26.9,,
48-rpl32,25.4,1.66,29.9,25.5,0.1
48-rpl32,25.6,1.69,29.8,,
41-rpl32,23.5,1.69,27.9,23.5,0.1
41-rpl32,23.4,1.74,27.8,,
157-rpl32,27.8,1.62,32.6,27.6,0.3
157-rpl32,27.4,1.72,31.4,,
153-rpl32,26.9,1.71,31.6,27.1,0.3
153-rpl32,27.3,1.77,31.6,,
130-rpl32,32.6,1.67,36.3,32.9,0.4
130-rpl32,33.2,1.78,36.4,,
POS-rpl32,27.8,1.64,32.3,27.8,0.1
POS-rpl32,27.7,1.68,32.1,,
NTC-rpl32,35.3,0.19,36.4,34.2,1.6
NTC-rpl32,33.1,1.69,36.3,,
POS-WOL,21.6,1.69,25.8,21.6,0
POS-WOL,21.6,1.7,25.8,,
NTC-WOL,19.8,0.6,21.1,26.7,9.8
NTC-WOL,33.6,1.73,36.4,,
100-WOL,23.6,1.67,28.1,23.6,0
100-WOL,23.6,1.67,27.8,,
83-WOL,19.3,1.8,23.1,19.1,0.4
83-WOL,18.8,1.77,22.6,,
46-WOL,17,1.69,20.9,16.8,0.4
46-WOL,16.5,1.6,20.6,,
54-WOL,18.4,1.77,22.8,18.4,0
54-WOL,18.4,1.78,22.1,,
34-WOL,16.5,1.74,20.6,16.5,0.1
34-WOL,16.4,1.79,20.3,,
48-WOL,19,1.73,22.9,19,0
48-WOL,19,1.78,23.1,,
41-WOL,17.1,1.8,20.8,17.1,0.1
41-WOL,17,1.76,20.8,,
157-WOL,21.3,1.74,25.4,21.4,0.1
157-WOL,21.5,1.81,25.6,,
153-WOL,19.8,1.85,23.8,19.8,0.1
153-WOL,19.7,1.79,23.8,,
130-WOL,27,1.84,30.4,27.6,0.8
130-WOL,28.2,1.97,32.1,,
