Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
118-rpl32,33.4,1.71,36.4,33.3,0.2
118-rpl32,33.1,1.63,36.4,,
66-rpl32,23,1.59,27.8,23,0.1
66-rpl32,22.9,1.66,27.6,,
36-rpl32,21.8,1.76,26.1,21.8,0
36-rpl32,21.8,1.64,26.6,,
16-rpl32,22,1.69,26.4,22.1,0.1
16-rpl32,22.2,1.63,26.9,,
132-rpl32,27.1,1.63,31.4,27.1,0.1
132-rpl32,27,1.65,31.6,,
150-rpl32,30.8,1.74,35.1,30.5,0.5
150-rpl32,30.1,1.66,34.8,,
40-rpl32,22.2,1.66,26.9,22.5,0.4
40-rpl32,22.8,1.61,27.3,,
120-rpl32,26.9,1.63,31.6,26.9,0.1
120-rpl32,26.8,1.78,31.4,,
149-rpl32,22.4,1.73,27.3,22.3,0.1
149-rpl32,22.2,1.77,26.6,,
161-rpl32,27.5,1.62,32.1,27.3,0.4
161-rpl32,27,1.64,31.8,,
POS-rpl32,26.7,1.68,31.3,27,0.4
POS-rpl32,27.2,1.7,31.8,,
NTC-rpl32,30.4,1.17,31.6,31.8,2
NTC-rpl32,33.2,1.82,36.3,,
POS-WOL,25.8,1.4,32.1,25.1,1.1
POS-WOL,24.3,1.52,30.1,,
NTC-WOL,9,1,10.1,12.3,4.7
NTC-WOL,15.6,0.74,17.1,,
118-WOL,31.6,1.51,36.1,26.1,7.8
118-WOL,20.6,0.44,21.8,,
66-WOL,17.2,1.66,21.6,23.9,9.4
66-WOL,30.5,1.36,36.1,,
36-WOL,17.1,1.58,22.3,16.8,0.4
36-WOL,16.5,1.77,20.8,,
16-WOL,16.2,1.81,20.6,16.2,0
16-WOL,16.2,1.85,20.1,,
132-WOL,24.5,1.84,28.1,24.4,0.2
132-WOL,24.2,1.73,28.1,,
150-WOL,23.3,1.8,27.8,22.9,0.6
150-WOL,22.5,1.69,26.4,,
40-WOL,15.7,1.96,19.9,15.9,0.2
40-WOL,16,1.97,19.4,,
120-WOL,21,1.71,24.6,20.8,0.3
120-WOL,20.6,1.82,24.3,,
149-WOL,15.5,1.68,19.6,15.8,0.4
149-WOL,16,1.88,19.9,,
161-WOL,21.4,1.81,25.1,26.1,6.6
161-WOL,30.7,0.76,32.1,,
RPL,,,,23.4,5.6
