Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
52-rpl32,24.3,1.63,28.6,24.5,0.2
52-rpl32,24.6,1.61,29.1,,
152-rpl32,20.3,1.66,24.6,20.4,0.1
152-rpl32,20.5,1.71,24.9,,
146-rpl32,26.2,1.69,30.6,26.2,0
146-rpl32,26.2,1.68,30.9,,
59-rpl32,25.1,1.79,29.9,25.1,0.1
59-rpl32,25,1.73,29.6,,
154-rpl32,29.8,1.68,34.4,29.8,0.1
154-rpl32,29.7,1.64,34.1,,
137-rpl32,23.6,1.67,28.1,23.7,0.1
137-rpl32,23.7,1.66,28.1,,
119-rpl32,24.1,1.27,28.9,23.6,0.8
119-rpl32,23,1.65,27.6,,
106-rpl32,24.8,1.66,29.4,24.9,0.1
106-rpl32,25,1.71,29.6,,
58-rpl32,25,1.74,29.1,25.1,0.1
58-rpl32,25.1,1.64,29.6,,
78-rpl32,33.8,0.57,34.9,33.3,0.8
78-rpl32,32.7,1.75,36.3,,
65-rpl32,24.7,1.64,29.6,25.1,0.6
65-rpl32,25.5,1.69,30.1,,
71-rpl32,26.1,1.6,30.9,26.3,0.3
71-rpl32,26.5,1.61,30.9,,
POS-rpl32,26.2,1.55,31.1,26.6,0.5
POS-rpl32,26.9,1.83,31.1,,
NTC-rpl32,10.9,0.86,12.1,23.1,17.3
NTC-rpl32,35.3,0.92,36.3,,
POS-WOL,21.9,1.7,25.9,22,0.1
POS-WOL,22.1,1.76,26.1,,
NTC-WOL,10.1,0.03,11.1,18.6,12
NTC-WOL,27.1,0.47,28.1,,
52-WOL,17.9,1.78,21.6,17.9,0
52-WOL,17.9,1.73,21.9,,
152-WOL,14.8,1.75,19.1,15,0.2
152-WOL,15.1,1.72,19.1,,
146-WOL,19.5,1.69,23.8,19.5,0.1
146-WOL,19.4,1.73,23.3,,
59-WOL,17.5,1.75,21.4,17.7,0.2
59-WOL,17.8,1.71,21.8,,
154-WOL,23.1,1.88,26.9,23.2,0.1
154-WOL,23.3,1.75,27.1,,
137-WOL,17.3,1.71,21.4,17.4,0.1
137-WOL,17.5,1.78,21.6,,
119-WOL,16.7,1.72,20.8,16.9,0.2
119-WOL,17,1.71,21.1,,
106-WOL,17.7,1.71,21.9,18,0.4
106-WOL,18.2,1.87,22.1,,
58-WOL,19,1.84,22.9,19,0
58-WOL,19,1.81,23.6,,
78-WOL,25.4,1.83,29.1,25.3,0.1
78-WOL,25.2,1.75,29.6,,
65-WOL,18.8,1.8,23.1,18.9,0.1
65-WOL,19,1.76,23.3,,
71-WOL,20.3,1.68,24.1,20.4,0.1
71-WOL,20.4,1.75,24.3,,
RPL,,,,22.4,5.1
