Name,Take Off,Amplification,2nd Deriv. Max,Rep. Takeoff,Rep. Takeoff (Std. Dev.)
138-rpl32,26.6,1.59,31.6,26.7,0.1
138-rpl32,26.7,1.62,31.1,,
124-rpl32,26,1.65,30.4,26.1,0.1
124-rpl32,26.1,1.61,30.6,,
12-rpl32,22.9,1.65,27.3,23,0.1
12-rpl32,23.1,1.63,27.9,,
148-rpl32,29.3,1.61,34.1,29.5,0.2
148-rpl32,29.6,1.68,34.1,,
90-rpl32,27.1,1.59,31.8,27.3,0.3
90-rpl32,27.5,1.98,31.9,,
96-rpl32,25.6,1.63,30.1,25.7,0.1
96-rpl32,25.7,1.65,30.1,,
35-rpl32,24.5,1.71,29.3,24.5,0
35-rpl32,24.5,1.64,29.1,,
22-rpl32,22.6,1.7,27.1,22.8,0.3
22-rpl32,23,1.68,27.8,,
144-rpl32,23.9,1.5,28.4,23,1.3
144-rpl32,22,1.8,26.1,,
72-rpl32,24.4,1.61,29.1,24.5,0.1
72-rpl32,24.5,1.63,29.4,,
113-rpl32,29,1.6,33.6,28.9,0.1
113-rpl32,28.8,1.62,33.1,,
POS-rpl32,29.1,1.7,34.1,29.3,0.3
POS-rpl32,29.5,1.75,33.6,,
NTC-rpl32,9.1,0.78,10.1,21.5,17.5
NTC-rpl32,33.9,1.41,37.1,,
POS-WOL,22.2,1.74,26.1,22.2,0.1
POS-WOL,22.1,1.68,26.6,,
NTC-WOL,35.4,0.9,36.4,34.8,0.8
NTC-WOL,34.2,1.32,36.4,,
138-WOL,19.7,1.75,23.9,19.8,0.1
138-WOL,19.8,1.74,23.9,,
124-WOL,19.8,1.72,23.8,19.9,0.1
124-WOL,19.9,1.79,23.9,,
12-WOL,17.2,1.87,21.1,17.2,0
12-WOL,17.2,1.77,21.1,,
148-WOL,23.7,1.75,27.4,23.9,0.3
148-WOL,24.1,1.75,28.1,,
90-WOL,18.8,1.71,23.1,18.9,0.1
90-WOL,19,1.71,23.1,,
96-WOL,18.6,1.79,22.8,18.7,0.1
96-WOL,18.7,1.73,22.4,,
35-WOL,16.4,1.67,20.8,16.4,0.1
35-WOL,16.3,1.7,20.6,,
22-WOL,15.2,1.88,19.1,15.3,0.1
22-WOL,15.3,1.76,19.1,,
144-WOL,16.3,1.7,20.3,16.2,0.2
144-WOL,16,1.73,20.4,,
72-WOL,16.6,1.72,20.8,16.5,0.1
72-WOL,16.4,1.77,20.6,,
113-WOL,19.9,1.71,24.3,20,0.1
113-WOL,20.1,1.89,24.3,,
RPL,,,,22.8,5.5
