"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","230904_MA_Wolbachia_Density_Batch3_b1p18T.rex"
"Date","9/4/2023"
"Time","11:04:11 AM"

"Operator","Tom D"
"Run Id",""
"Notes",""
"Machine Serial No","0417101"

"Channel","Gain"
"Green","5"
"Yellow","5"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)",""
"Cycling A.Green (Page 1)",""

"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7","Peak 8","Peak 9","Peak 10"
"1","16581159","158-rpl32","","55.0","59.5","64.3","72.2","77.5","87.2","","","",""
"2","16581159","158-rpl32","","58.5","68.5","75.5","79.8","87.2","","","","",""
"3","16581159","108-rpl32","","57.8","63.2","68.2","71.5","76.5","87.5","95.5","","",""
"4","16581159","108-rpl32","","58.0","62.0","67.5","76.5","87.5","95.0","","","",""
"5","16581159","11-rpl32","","58.0","65.7","70.5","73.7","78.0","87.2","","","",""
"6","16581159","11-rpl32","","57.0","63.5","68.5","77.0","87.2","94.3","","","",""
"7","16581159","143-rpl32","","55.2","58.5","68.5","77.3","87.2","","","","",""
"8","16581159","143-rpl32","","56.2","60.0","66.7","79.2","87.2","","","","",""
"9","16581159","102-rpl32","","57.8","67.0","71.5","78.0","87.3","","","","",""
"10","16581159","102-rpl32","","55.5","59.0","63.8","69.0","74.7","87.3","","","",""
"11","16581159","64-rpl32","","58.7","68.0","74.2","78.5","87.2","94.0","","","",""
"12","16581159","64-rpl32","","57.2","61.2","67.8","73.8","87.2","","","","",""
"13","16581159","112-rpl32","","58.7","64.0","68.2","72.7","77.5","87.2","","","",""
"14","16581159","112-rpl32","","57.2","61.5","64.0","70.8","75.5","79.3","87.2","91.7","96.8",""
"15","16581159","42-rpl32","","57.0","60.8","65.8","70.0","79.8","81.3","87.3","95.0","",""
"16","16581159","42-rpl32","","58.5","60.2","68.5","73.5","78.7","87.3","92.0","97.0","",""
"17","16581159","95-rpl32","","55.0","59.0","63.0","67.3","71.3","75.7","87.2","93.5","",""
"18","16581159","95-rpl32","","57.3","67.5","76.5","87.2","94.3","","","","",""
"19","16581159","17-rpl32","","53.7","56.5","60.0","67.8","73.3","76.5","87.2","93.7","",""
"20","16581159","17-rpl32","","58.0","67.5","71.7","75.5","87.3","","","","",""
"21","16581159","145-rpl32","","60.8","70.2","77.2","87.0","94.8","","","","",""
"22","16581159","145-rpl32","","61.0","70.5","77.0","87.0","91.5","97.2","","","",""
"33","16581159","POS-rpl32","","58.0","62.5","71.2","76.2","81.3","87.3","","","",""
"34","16581159","POS-rpl32","","53.0","58.0","64.8","69.0","78.5","87.5","95.0","","",""
"35","16581159","NTC-rpl32","","55.3","66.0","72.5","78.5","","","","","",""
"36","16581159","NTC-rpl32","","50.7","54.2","67.5","76.5","82.8","87.8","93.0","","",""
"37","255","POS-WOL","","60.2","64.8","68.8","73.5","78.2","82.8","87.3","92.3","",""
"38","255","POS-WOL","","55.5","58.8","66.5","71.5","78.2","","","","",""
"39","255","NTC-WOL","","53.5","69.8","74.3","78.3","82.8","86.8","91.0","98.3","",""
"40","255","NTC-WOL","","55.0","72.8","78.3","86.5","90.5","94.8","","","",""
"41","255","158-WOL","","58.3","66.0","71.3","78.0","83.0","84.7","90.5","","",""
"42","255","158-WOL","","54.0","58.5","63.5","68.2","73.5","77.8","82.5","88.0","91.2","96.3"
"43","255","108-WOL","","58.0","63.5","68.8","78.0","","","","","",""
"44","255","108-WOL","","58.5","63.8","68.5","78.0","83.0","84.7","88.7","95.2","",""
"45","255","11-WOL","","57.0","62.3","68.0","73.2","78.0","83.0","90.7","","",""
"46","255","11-WOL","","56.0","59.7","63.2","73.0","78.0","","","","",""
"47","255","143-WOL","","58.7","62.2","68.3","73.3","78.0","83.0","88.5","93.8","",""
"48","255","143-WOL","","55.3","59.8","63.2","68.5","73.3","77.8","84.3","87.7","92.5",""
"49","255","102-WOL","","55.3","59.5","66.8","72.0","72.7","78.0","82.8","86.0","96.7",""
"50","255","102-WOL","","58.7","67.3","73.7","78.0","82.7","87.5","90.5","94.8","",""
"51","255","64-WOL","","58.0","66.8","70.8","78.0","83.0","84.8","93.2","96.5","",""
"52","255","64-WOL","","54.5","58.8","63.5","70.3","78.0","84.5","91.0","95.5","",""
"53","255","112-WOL","","58.0","64.5","69.7","73.5","77.5","82.2","87.8","93.7","",""
"54","255","112-WOL","","58.5","63.8","69.2","73.5","77.5","","","","",""
"55","255","42-WOL","","56.0","60.0","68.5","73.2","77.7","","","","",""
"56","255","42-WOL","","57.0","58.0","67.7","72.0","77.7","84.3","87.0","88.0","96.0",""
"57","255","95-WOL","","56.0","59.8","62.3","67.3","72.2","77.8","87.5","89.2","",""
"58","255","95-WOL","","52.5","58.5","64.7","67.5","73.0","77.8","84.5","88.3","93.5",""
"59","255","17-WOL","","57.2","63.3","70.2","73.3","77.5","82.5","86.2","92.5","96.5",""
"60","255","17-WOL","","57.5","60.7","67.2","73.0","77.5","83.2","87.8","90.5","93.5",""
"61","255","145-WOL","","54.5","59.5","64.5","68.5","73.0","77.5","86.3","90.5","95.0",""
"62","255","145-WOL","","56.3","59.2","63.5","70.3","77.3","82.0","85.7","95.2","",""



"Comparative Quantitation analysis of Cycling A.Green (Page 1)"

"No.","Name","Take Off","Amplification","2nd Deriv. Max","Rep. Takeoff","Rep. Takeoff (Std. Dev.)",
"1","158-rpl32","23.9","1.52","29.30","24.0","0.1",
"2","158-rpl32","24.0","1.61","29.40","","",
"3","108-rpl32","27.1","1.60","32.10","27.3","0.2",
"4","108-rpl32","27.4","1.65","32.40","","",
"5","11-rpl32","21.0","1.54","26.30","21.0","0.0",
"6","11-rpl32","21.0","1.62","25.80","","",
"7","143-rpl32","26.3","1.64","31.30","26.1","0.3",
"8","143-rpl32","25.9","1.58","31.60","","",
"9","102-rpl32","27.5","1.76","32.30","27.2","0.5",
"10","102-rpl32","26.8","1.61","32.30","","",
"11","64-rpl32","22.3","1.79","26.90","22.3","0.0",
"12","64-rpl32","22.3","1.78","27.10","","",
"13","112-rpl32","22.9","1.68","28.10","23.1","0.3",
"14","112-rpl32","23.3","1.40","28.30","","",
"15","42-rpl32","21.2","1.72","26.10","21.1","0.1",
"16","42-rpl32","21.0","1.58","26.30","","",
"17","95-rpl32","29.3","1.58","34.40","28.8","0.8",
"18","95-rpl32","28.2","1.72","33.60","","",
"19","17-rpl32","21.2","1.74","27.10","21.6","0.5",
"20","17-rpl32","21.9","1.65","26.60","","",
"21","145-rpl32","28.1","1.19","33.90","28.6","0.7",
"22","145-rpl32","29.1","1.65","34.60","","",
"33","POS-rpl32","25.8","1.62","31.80","25.6","0.4",
"34","POS-rpl32","25.3","1.65","31.80","","",
"35","NTC-rpl32","33.5","0.18","36.80","29.1","6.3",
"36","NTC-rpl32","24.6","0.00","25.80","","",
"37","POS-WOL","20.3","1.60","25.30","20.8","0.7",
"38","POS-WOL","21.3","1.68","25.60","","",
"39","NTC-WOL","24.7","0.00","25.80","24.9","0.2",
"40","NTC-WOL","25.0","0.00","26.30","","",
"41","158-WOL","18.1","1.24","22.80","18.2","0.1",
"42","158-WOL","18.3","1.23","22.90","","",
"43","108-WOL","22.1","1.36","25.60","22.0","0.2",
"44","108-WOL","21.8","0.77","26.10","","",
"45","11-WOL","16.4","1.44","20.90","16.6","0.3",
"46","11-WOL","16.8","1.63","21.10","","",
"47","143-WOL","22.1","1.36","25.60","21.9","0.4",
"48","143-WOL","21.6","1.73","25.40","","",
"49","102-WOL","22.7","1.23","26.60","22.6","0.1",
"50","102-WOL","22.5","1.19","26.80","","",
"51","64-WOL","16.0","1.33","19.80","16.0","0.0",
"52","64-WOL","16.0","1.21","19.40","","",
"53","112-WOL","17.7","1.11","21.60","17.4","0.4",
"54","112-WOL","17.1","1.34","21.90","","",
"55","42-WOL","14.6","1.45","19.10","14.6","0.1",
"56","42-WOL","14.5","1.51","19.10","","",
"57","95-WOL","25.1","1.83","29.30","25.1","0.0",
