"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","230811_MA_Wolbachia_Density_Pilot_b7p40.rex"
"Date","8/14/2023"
"Time","5:34:05 PM"

"Operator","Angelique"
"Run Id",""
"Notes",""
"Machine Serial No","0417101"

"Channel","Gain"
"Green","10"
"Yellow","5"

"Channel","Threshold"
"Cycling A.Green (Page 1)",""
"Melt A.Green (Page 1)","1.31029"

"Comparative Quantitation analysis of Cycling A.Green (Page 1)"

"No.","Name","Take Off","Amplification","2nd Deriv. Max","Rep. Takeoff","Rep. Takeoff (Std. Dev.)",
"1","4-rpl32","22.2","1.69","26.60","22.3","0.1",
"2","4-rpl32","22.4","1.67","27.10","","",
"3","5-rpl32","21.9","1.64","26.40","21.9","0.0",
"4","5-rpl32","21.9","1.73","26.60","","",
"5","6-rpl32","22.0","1.78","26.30","22.0","0.1",
"6","6-rpl32","21.9","1.69","26.30","","",
"7","10-rpl32","22.3","1.68","26.90","22.2","0.1",
"8","10-rpl32","22.1","1.82","26.60","","",
"41","4-WOL","17.6","1.72","21.10","17.5","0.1",
"42","4-WOL","17.4","1.70","21.60","","",
"43","5-WOL","16.6","1.62","21.10","16.8","0.3",
"44","5-WOL","17.0","1.71","20.60","","",
"45","6-WOL","17.9","1.89","21.30","18.0","0.1",
"46","6-WOL","18.0","1.71","22.10","","",
"47","10-WOL","17.4","1.65","21.30","17.6","0.3",
"48","10-WOL","17.8","1.76","21.80","","",
"1-8, 41-48","RPL","","","","19.8","2.4",



"Melt analysis of Melt A.Green (Page 1)"

"No.","Color","Name","Genotype","Peak 1"
"1","16711680","4-rpl32","","87.3"
"2","16711680","4-rpl32","","87.2"
"3","16711680","5-rpl32","","87.2"
"4","16711680","5-rpl32","","87.3"
"5","16711680","6-rpl32","","87.5"
"6","16711680","6-rpl32","","87.5"
"7","16711680","10-rpl32","","87.5"
"8","16711680","10-rpl32","","87.5"
"41","8388736","4-WOL","","77.7"
"42","8388736","4-WOL","","77.7"
"43","8388736","5-WOL","","77.7"
"44","8388736","5-WOL","","77.8"
"45","8388736","6-WOL","","77.7"
"46","8388736","6-WOL","","77.7"
"47","8388736","10-WOL","","77.7"
"48","8388736","10-WOL","","77.8"



